Dataset,PublishTime,StartTime,SettlementDate,SettlementPeriod,FuelType,Generation
FUELHH,2026-06-10T13:30:00Z,2026-06-10T13:00:00Z,2026-06-10,29,BIOMASS,2406
FUELHH,2026-06-10T13:30:00Z,2026-06-10T13:00:00Z,2026-06-10,29,CCGT,5581
FUELHH,2026-06-10T13:30:00Z,2026-06-10T13:00:00Z,2026-06-10,29,COAL,0
FUELHH,2026-06-10T13:30:00Z,2026-06-10T13:00:00Z,2026-06-10,29,INTELEC,996
FUELHH,2026-06-10T13:30:00Z,2026-06-10T13:00:00Z,2026-06-10,29,INTEW,0
FUELHH,2026-06-10T13:30:00Z,2026-06-10T13:00:00Z,2026-06-10,29,INTFR,1502
FUELHH,2026-06-10T13:30:00Z,2026-06-10T13:00:00Z,2026-06-10,29,INTGRNL,-514
FUELHH,2026-06-10T13:30:00Z,2026-06-10T13:00:00Z,2026-06-10,29,INTIFA2,-2
FUELHH,2026-06-10T13:30:00Z,2026-06-10T13:00:00Z,2026-06-10,29,INTIRL,-362
FUELHH,2026-06-10T13:30:00Z,2026-06-10T13:00:00Z,2026-06-10,29,INTNED,830
FUELHH,2026-06-10T13:30:00Z,2026-06-10T13:00:00Z,2026-06-10,29,INTNEM,730
FUELHH,2026-06-10T13:30:00Z,2026-06-10T13:00:00Z,2026-06-10,29,INTNSL,1398
FUELHH,2026-06-10T13:30:00Z,2026-06-10T13:00:00Z,2026-06-10,29,INTVKL,1426
FUELHH,2026-06-10T13:30:00Z,2026-06-10T13:00:00Z,2026-06-10,29,NPSHYD,172
FUELHH,2026-06-10T13:30:00Z,2026-06-10T13:00:00Z,2026-06-10,29,NUCLEAR,2970
FUELHH,2026-06-10T13:30:00Z,2026-06-10T13:00:00Z,2026-06-10,29,OCGT,2
FUELHH,2026-06-10T13:30:00Z,2026-06-10T13:00:00Z,2026-06-10,29,OIL,0
FUELHH,2026-06-10T13:30:00Z,2026-06-10T13:00:00Z,2026-06-10,29,OTHER,411
FUELHH,2026-06-10T13:30:00Z,2026-06-10T13:00:00Z,2026-06-10,29,PS,-38
FUELHH,2026-06-10T13:30:00Z,2026-06-10T13:00:00Z,2026-06-10,29,WIND,4913
FUELHH,2026-06-10T13:00:00Z,2026-06-10T12:30:00Z,2026-06-10,28,BIOMASS,2410
FUELHH,2026-06-10T13:00:00Z,2026-06-10T12:30:00Z,2026-06-10,28,CCGT,5502
FUELHH,2026-06-10T13:00:00Z,2026-06-10T12:30:00Z,2026-06-10,28,COAL,0
FUELHH,2026-06-10T13:00:00Z,2026-06-10T12:30:00Z,2026-06-10,28,INTELEC,996
FUELHH,2026-06-10T13:00:00Z,2026-06-10T12:30:00Z,2026-06-10,28,INTEW,0
FUELHH,2026-06-10T13:00:00Z,2026-06-10T12:30:00Z,2026-06-10,28,INTFR,1502
FUELHH,2026-06-10T13:00:00Z,2026-06-10T12:30:00Z,2026-06-10,28,INTGRNL,-514
FUELHH,2026-06-10T13:00:00Z,2026-06-10T12:30:00Z,2026-06-10,28,INTIFA2,-2
FUELHH,2026-06-10T13:00:00Z,2026-06-10T12:30:00Z,2026-06-10,28,INTIRL,-290
FUELHH,2026-06-10T13:00:00Z,2026-06-10T12:30:00Z,2026-06-10,28,INTNED,1042
FUELHH,2026-06-10T13:00:00Z,2026-06-10T12:30:00Z,2026-06-10,28,INTNEM,1012
FUELHH,2026-06-10T13:00:00Z,2026-06-10T12:30:00Z,2026-06-10,28,INTNSL,1398
FUELHH,2026-06-10T13:00:00Z,2026-06-10T12:30:00Z,2026-06-10,28,INTVKL,1426
FUELHH,2026-06-10T13:00:00Z,2026-06-10T12:30:00Z,2026-06-10,28,NPSHYD,165
FUELHH,2026-06-10T13:00:00Z,2026-06-10T12:30:00Z,2026-06-10,28,NUCLEAR,2972
FUELHH,2026-06-10T13:00:00Z,2026-06-10T12:30:00Z,2026-06-10,28,OCGT,2
FUELHH,2026-06-10T13:00:00Z,2026-06-10T12:30:00Z,2026-06-10,28,OIL,0
FUELHH,2026-06-10T13:00:00Z,2026-06-10T12:30:00Z,2026-06-10,28,OTHER,491
FUELHH,2026-06-10T13:00:00Z,2026-06-10T12:30:00Z,2026-06-10,28,PS,-246
FUELHH,2026-06-10T13:00:00Z,2026-06-10T12:30:00Z,2026-06-10,28,WIND,4942
FUELHH,2026-06-10T12:30:00Z,2026-06-10T12:00:00Z,2026-06-10,27,BIOMASS,2409
FUELHH,2026-06-10T12:30:00Z,2026-06-10T12:00:00Z,2026-06-10,27,CCGT,5991
FUELHH,2026-06-10T12:30:00Z,2026-06-10T12:00:00Z,2026-06-10,27,COAL,0
FUELHH,2026-06-10T12:30:00Z,2026-06-10T12:00:00Z,2026-06-10,27,INTELEC,998
FUELHH,2026-06-10T12:30:00Z,2026-06-10T12:00:00Z,2026-06-10,27,INTEW,0
FUELHH,2026-06-10T12:30:00Z,2026-06-10T12:00:00Z,2026-06-10,27,INTFR,1502
FUELHH,2026-06-10T12:30:00Z,2026-06-10T12:00:00Z,2026-06-10,27,INTGRNL,-514
FUELHH,2026-06-10T12:30:00Z,2026-06-10T12:00:00Z,2026-06-10,27,INTIFA2,-2
FUELHH,2026-06-10T12:30:00Z,2026-06-10T12:00:00Z,2026-06-10,27,INTIRL,-376
FUELHH,2026-06-10T12:30:00Z,2026-06-10T12:00:00Z,2026-06-10,27,INTNED,1038
FUELHH,2026-06-10T12:30:00Z,2026-06-10T12:00:00Z,2026-06-10,27,INTNEM,1012
FUELHH,2026-06-10T12:30:00Z,2026-06-10T12:00:00Z,2026-06-10,27,INTNSL,1398
FUELHH,2026-06-10T12:30:00Z,2026-06-10T12:00:00Z,2026-06-10,27,INTVKL,1426
FUELHH,2026-06-10T12:30:00Z,2026-06-10T12:00:00Z,2026-06-10,27,NPSHYD,204
FUELHH,2026-06-10T12:30:00Z,2026-06-10T12:00:00Z,2026-06-10,27,NUCLEAR,2972
FUELHH,2026-06-10T12:30:00Z,2026-06-10T12:00:00Z,2026-06-10,27,OCGT,2
FUELHH,2026-06-10T12:30:00Z,2026-06-10T12:00:00Z,2026-06-10,27,OIL,0
FUELHH,2026-06-10T12:30:00Z,2026-06-10T12:00:00Z,2026-06-10,27,OTHER,495
FUELHH,2026-06-10T12:30:00Z,2026-06-10T12:00:00Z,2026-06-10,27,PS,-108
FUELHH,2026-06-10T12:30:00Z,2026-06-10T12:00:00Z,2026-06-10,27,WIND,4650
FUELHH,2026-06-10T12:00:00Z,2026-06-10T11:30:00Z,2026-06-10,26,BIOMASS,2412
FUELHH,2026-06-10T12:00:00Z,2026-06-10T11:30:00Z,2026-06-10,26,CCGT,6110
FUELHH,2026-06-10T12:00:00Z,2026-06-10T11:30:00Z,2026-06-10,26,COAL,0
FUELHH,2026-06-10T12:00:00Z,2026-06-10T11:30:00Z,2026-06-10,26,INTELEC,998
